,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193102,12.3828,14.2328,52.851,23.9949,25.1782,8.1334,12.3894,15.9257,14.2663,16.8369,14.4223,16.0849,13.4328,11.9776,14.2729,14.6874,13.727,8.8136,7.0478,17.9619,13.395,14.2256,6.3495,9.2652,42.4242
193103,-5.3846,-0.6015,1.4341,-6.0128,-4.2512,-2.463,-8.4879,-0.8325,-7.3433,1.669,-3.411,-9.3117,-5.8502,-6.3106,-13.3781,-8.0259,-7.8507,-8.8211,-10.7782,-6.3189,-4.6155,-9.5281,-11.9469,-15.5785,-19.6809
193104,-17.5604,-20.9528,-33.9745,-16.4475,-17.3074,-17.4501,-18.0378,-13.2669,-16.0724,-20.6663,-13.9137,-14.4344,-14.0838,-18.1102,-19.193,-13.5125,-12.6717,-17.1229,-15.5388,-7.7735,-11.0143,-10.8104,-12.7412,-11.5579,-23.8411
193105,-16.1607,3.9216,-18.9077,-12.2367,-15.9046,-9.0057,-8.447,-12.2885,-14.1068,-10.7567,-16.981,-13.6832,-10.1392,-13.5858,-19.9356,-10.4097,-13.5617,-19.2737,-21.5145,-26.6812,-12.9197,-14.5194,-18.6487,-19.4597,-22.6087
193106,11.3782,-0.4595,18.7867,18.8103,23.0855,8.45,8.6687,9.7785,16.8616,22.7331,17.4004,12.9647,7.7859,20.3916,39.2511,13.2571,17.408,20.9967,30.6211,33.889,13.5815,16.9536,20.0434,25.5674,40.4494
193107,-10.1519,-12.5359,-9.3666,-7.2554,-3.2909,-5.7334,-5.995,-8.0072,-6.3647,-6.5557,-7.432,-7.7148,-10.783,-8.2235,-11.9832,-5.0948,-4.4891,-8.4325,-9.3385,-13.6035,-6.3662,-7.1287,-9.8984,-18.6825,0
193108,-5.0699,-3.5872,-4.8554,-3.908,-5.4302,6.7607,-0.4727,0.9933,-2.0057,-4.535,-1.3026,-1.4182,-1.8125,-2.7025,-4.7715,-1.8322,-2.7167,1.1804,0.8562,5.2863,0.5418,0.1412,-1.8644,-6.3751,8.4337
193109,-53.1746,-28.3794,-26.5544,-36.2462,-27.4076,-27.5629,-28.2592,-34.6904,-29.0755,-36.4411,-28.4238,-32.2572,-32.1158,-34.0011,-34.1286,-31.4647,-25.3243,-29.5792,-32.3058,-39.608,-30.3235,-28.3015,-33.5526,-30.4375,-45.5556
193110,37.1118,4.7551,-1.4742,10.7054,9.1927,6.8495,5.562,7.5739,10.5528,14.0714,2.2535,15.7589,12.2702,10.569,6.3539,10.1093,6.2113,12.3541,10.4814,12.6399,10.1773,7.5878,1.4611,4.1308,20.4082
193111,-27.0909,-26.2706,-0.2528,-3.677,-9.9111,-15.9265,-7.931,-7.7466,-5.1353,-9.9307,-5.4533,-10.1661,-6.3098,-10.621,-10.576,-8.2605,-4.5694,-12.7466,-15.5565,-12.3142,-6.8639,-9.037,-18.6031,-24.6332,-6.7797
